"","Date","Mkt.RF","SMB","HML","RMW","CMA","RF"
"94",2010-05-12,1.08,0.31,0.11,-0.04,0.09,0
"95",2010-05-13,-0.43,0.43,0.06,0.24,-0.23,0
"96",2010-05-14,-2.47,0.76,-0.8,0.15,-0.14,0
"97",2010-05-17,-0.49,-0.74,-0.47,-0.16,0.53,0
"98",2010-05-18,-0.81,-0.58,-0.2,0.18,-0.07,0
"99",2010-05-19,-0.95,-0.3,-0.37,-0.11,0.29,0
"100",2010-05-20,-2.76,-0.17,-0.45,0.07,0.34,0
"101",2010-05-21,0.64,-0.37,0.72,-0.36,-0.36,0
"102",2010-05-24,-0.87,0.35,-0.44,0.29,-0.33,0
"103",2010-05-25,-1.41,-0.34,-0.72,-0.36,0.12,0
"104",2010-05-26,0.29,0.32,0.64,0.06,-0.21,0
"105",2010-05-27,3.32,-0.24,0.99,0.08,0.19,0
"106",2010-05-28,-0.66,0.5,-0.38,0.08,-0.09,0
"107",2010-05-31,0.22,0.28,0.18,0.08,-0.04,0
"108",2010-06-01,-1.21,-0.39,-0.97,0.03,-0.14,0
"109",2010-06-02,1.2,-0.32,-0.26,-0.07,-0.06,0
"110",2010-06-03,0.83,0.14,0.21,0.33,-0.2,0
"111",2010-06-04,-2.82,0.33,-0.47,0.24,0.04,0
"112",2010-06-07,-1.65,-0.48,-0.59,-0.03,-0.01,0
"113",2010-06-08,0.41,-0.41,-0.29,0.12,-0.05,0
"114",2010-06-09,0.26,0.02,-0.02,0.25,0.01,0
"115",2010-06-10,2.57,-0.3,0.49,0.09,-0.05,0
"116",2010-06-11,0.53,0.3,0.18,-0.16,-0.02,0
"117",2010-06-14,0.91,0.23,0.5,0.33,0.08,0
"118",2010-06-15,1.72,-0.32,0.51,-0.2,-0.1,0
"119",2010-06-16,0.12,-0.09,-0.15,0.04,-0.31,0
"120",2010-06-17,0.35,-0.09,-0.16,-0.17,0.14,0
"121",2010-06-18,0.26,0.19,0.38,-0.27,-0.12,0
"122",2010-06-21,0.24,-0.33,0.48,0.26,0.04,0
"123",2010-06-22,-1.17,0.24,-0.47,-0.04,-0.01,0
"124",2010-06-23,-0.51,0.15,-0.22,-0.08,-0.01,0
"125",2010-06-24,-1.35,0.49,-0.6,0,0.07,0
"126",2010-06-25,0.06,0.57,0.16,-0.77,-0.11,0
"127",2010-06-28,-0.11,-0.41,-0.19,0.03,0.16,0
"128",2010-06-29,-3.04,0.35,-1,0.23,0.25,0
"129",2010-06-30,-0.59,0,-0.24,0.04,0.18,0
"130",2010-07-01,-0.27,0.02,-0.14,0.29,-0.13,0
"131",2010-07-02,-0.08,0.08,-0.07,0.19,0,0
"132",2010-07-05,-0.14,0.23,-0.04,0.22,0,0
"133",2010-07-06,1.49,-1.09,0.26,-0.16,0.04,0
"134",2010-07-07,1.89,-0.96,0.34,-0.42,0.28,0
"135",2010-07-08,1.26,-0.09,0.17,-0.04,0.29,0
"136",2010-07-09,0.52,0.14,0.18,-0.44,0.21,0
"137",2010-07-12,-0.13,-0.45,-0.05,0.18,0.09,0
"138",2010-07-13,1.67,-0.13,0.19,-0.49,0.61,0
"139",2010-07-14,0.38,0.03,-0.32,0.16,-0.06,0
"140",2010-07-15,0.14,-0.15,-0.19,0.4,-0.14,0
"141",2010-07-16,-2.28,0.53,-0.26,0.71,-0.48,0
"142",2010-07-19,0,-0.23,0.1,0.02,0.05,0
"143",2010-07-20,0.39,-0.01,-0.16,0.03,-0.05,0
"144",2010-07-21,-0.58,-0.06,0.02,0.08,0.01,0
"145",2010-07-22,2.13,-0.3,0.38,-0.58,0.33,0
"146",2010-07-23,0.87,0.35,-0.2,-0.16,0.36,0
"147",2010-07-26,1.16,0.42,0.3,-0.41,0.37,0
"148",2010-07-27,-0.06,-0.25,0.64,-0.23,0.08,0
"149",2010-07-28,-0.2,-0.07,0.14,0.22,-0.14,0
"150",2010-07-29,0.08,0.38,0.24,-0.09,-0.01,0
"151",2010-07-30,-0.24,0.19,-0.2,-0.08,0.01,0
"152",2010-08-02,2.2,-0.95,0.21,-0.29,0.24,0
"153",2010-08-03,0.14,0.07,-0.13,0.15,-0.21,0
"154",2010-08-04,0.01,-0.11,-0.18,-0.04,-0.2,0
"155",2010-08-05,0.15,-0.02,0.12,0.05,-0.02,0
"156",2010-08-06,-0.19,0.25,-0.02,0.1,-0.13,0
"157",2010-08-09,0.46,-0.06,0.03,0.01,0.02,0
"158",2010-08-10,-0.82,-0.37,-0.23,0.35,-0.33,0
"159",2010-08-11,-3.22,0.13,-0.32,0.65,-0.52,0
"160",2010-08-12,-0.58,-0.19,-0.12,0.23,-0.23,0
"161",2010-08-13,-0.24,-0.09,-0.02,0.03,-0.07,0
"162",2010-08-16,0.32,0.35,-0.31,-0.01,-0.1,0
"163",2010-08-17,1.22,-0.19,-0.06,-0.16,0.05,0
"164",2010-08-18,0.06,0.03,0.03,-0.08,0,0
