"","Date","amazon","apple","caterpillar","delta","google","jpmorgan","tesla","mobil","Mkt.RF","SMB","HML","RMW","CMA","RF"
"1",2011-01-03,0.00521911598308212,0.00428831829177988,-0.00467326054176335,-0.00397461031530214,-0.00368992707441305,0.0144729388850942,0.00187824936595619,0.00469487710019795,0.68,-0.14,0.49,-0.49,0.18,0
"2",2011-01-04,0.00817978134168806,0.0130263394688486,0.00864361688109441,0.0359139684090118,0.0115425949876734,0.0122285084293383,0.00599925009373815,-0.00267060697077045,0.05,-0.4,0.41,0.04,0.07,0
"3",2011-01-05,-0.0008082003873393,-0.00832353546391555,-0.0103685308894725,-0.00539294137155832,0.00727337515901589,-0.00492181474703276,0.03913525903839,0.00642591825756304,-0.3,0.1,0.16,-0.22,0.12,0
"4",2011-01-06,0.00716123670733305,-0.00199072419030071,0.00203161415172407,0.00697117868517599,0.00479216729393767,-0.0188852913644154,0.012912518397149,0.0054536372498133,-0.23,-0.05,-0.01,-0.01,0.1,0
"5",2011-01-07,0.01883275565778,-0.00436687680287679,-0.00362765056450918,-0.0307689083696679,-0.00361755790345395,-0.00549963479427985,0.0074362960339944,-0.00608569049500681,-0.3,0.03,-0.18,0.09,-0.01,0
"6",2011-01-10,-0.00236531509201959,-0.00184100613432437,0.00599660993479538,-0.0198414127206649,0.00293058668267521,0.00460859208539278,-0.0523726519376924,0.00745383297987952,-0.21,0.43,-0.23,-0.04,-0.05,0
"7",2011-01-11,0.00813709673536092,-0.00141040471759588,-0.00489660203163014,0.0129554185715266,0.00139611947053998,0.0254585847214231,0,0.0117589579389421,0.63,0.01,0.18,-0.14,0.12,0
"8",2011-01-12,0.00365829271197682,0.0078769936128097,0.0069529746506758,0.00799379019650499,-0.000291786176658041,-0.00581508646907008,-0.0274480722347207,0.00169720389355857,1.33,-0.34,0.33,-0.51,0.18,0
"9",2011-01-13,0.0080997364528475,0.0173556892004295,-0.00138075506760029,0.0111023583807433,0.0121454949840373,0.0103483597457108,-0.0179252104471858,0.0147308724524085,0.43,0.08,0.19,0.2,0.12,0
"10",2011-01-14,-0.0224687684107519,0.0132450331125828,0.0284276855533071,-0.0823531946288294,0.0247524230079311,-0.00356227080994139,-0.00427188349514565,0.0111767192460056,0.27,-0.1,0.39,-0.37,0.2,0
"11",2011-01-18,-0.00531324030745853,-0.0229019869281046,-0.00717042187794655,-0.021367199000887,-0.0123196410498441,-0.0232398961095339,-0.0627924361463509,-0.00597110005533548,0.73,-0.25,-0.02,0.08,-0.05,0
"12",2011-01-19,-0.0181799103477667,-0.0262748869876087,-0.0202008700614114,0.0139735483100921,-0.00788280579920074,0.0237928392211851,-0.0586766517404639,-0.00626304517672522,-0.56,0.1,-0.05,0.58,-0.22,0
"13",2011-01-20,-0.0179150256338418,-0.0249505870814788,-0.00918709416045363,-0.00602922079149856,-0.0238365034077569,0.012067051587799,0.018567638436444,0.0158202485717139,-1,-0.53,0.6,0.11,0.21,0
"14",2011-01-21,0.0328415654161445,-0.00321267053559534,0.0196230583579118,0.0415946905949142,-0.00122581867944821,-0.00596125833721891,0.0629339816434903,-0.00493822156574378,0.42,-0.65,0.47,-0.06,0.3,0
"15",2011-01-24,0.0117054380940445,-0.000848227282502955,-0.00190363845413996,-0.0324460362053491,0.0144497758087601,-0.00333208644850879,0.00775826868109438,0.00114503537797824,0.57,-0.14,-0.12,0.08,0.22,0
"16",2011-01-25,0.00717630300012151,-0.00741368433639536,0.0144079367465854,0.0300942567162399,-0.00550081767813017,0.00245129546055115,0.00283630470016209,0.0124558375357209,0.03,0.13,0.08,0.19,0.2,0
"17",2011-01-26,-0.00186102524894827,0.0516562976889008,0.00919079843710224,0.0267115619643249,0.000470438014290979,0.00266795460439655,0.00686868686868694,0.00276163195780005,0.69,0.38,-0.26,-0.14,-0.11,0
